Year,real_return_spcomposite,real_return_10yearbonds,house_price_index
1890,0.059987736,0.038414623,100
1891,0.09221865,0.040000868333333335,88.01179106
1892,0.074934954,0.025941367,95.42173618
1893,0.075183079,0.026092068416666666,92.29738548
1894,0.06935082,0.012677470083333335,123.9804828
1895,0.093011325,0.013040098666666666,117.4550916
1896,0.098697973,0.004412515,100.3029902
1897,0.065277035,-0.003497567,106.5157028
1898,0.061247857,0.00288577,110.1841398
1899,0.063071981,0.00244991,103.8531133
1900,0.066268469,0.005888392,101.5742948
1901,0.047089387,0.013004129166666668,87.3260955
1902,0.043970515,0.012722006416666667,100.4736445
1903,0.048113765,0.012196885,93.07489238
1904,0.042405074083333334,0.013358044749999999,101.854359
1905,0.02287315,0.014689473,87.24854753
1906,0.026034810000000002,0.011326259416666666,103.5251673
1907,0.026968344,0.000966456,109.3165207
1908,-0.001314144,-0.018551936,100.8191824
1909,-0.01287768,-0.025560252,95.38041379
1910,-0.027916662,-0.036816,93.11063671
1911,-0.036028914,-0.029807808,97.54333604
1912,-0.00563444,-0.012132508,102.3651618
1913,0.009540838,-0.009344082,95.4085608
1914,0.023397917166666667,-0.007504811,96.9771637
1915,0.039096139583333335,-0.008090631,88.1487638
1916,0.044619824,-0.000190054,93.72485165
1917,0.096248764,0.021134294,85.00903742
1918,0.15297349633333332,0.037757972,75.56662106
1919,0.17857576733333333,0.052960459083333335,70.51379536
1920,0.18237954808333334,0.073617109,66.07414907
1921,0.14440464366666667,0.065428797,65.61430848
1922,0.055838926,0.065797599,74.79619714
1923,0.090273023,0.074044884,76.35007782
1924,0.091345274,0.0698977,74.28697788
1925,0.07489053,0.069215706,78.16282021
1926,0.10196606000000001,0.066370163,72.49060155
1927,0.07250449,0.058301424416666664,71.38030121
1928,0.018015499083333334,0.060887347,73.28212987
1929,-0.000613117,0.062782888,72.61432988
1930,0.009545842,0.058519307,69.4919137
1931,0.029632110333333333,0.042882935,68.64520321
1932,0.063394385,0.017293417,68.33719351
1933,0.053366934,0.00260615,72.86594698
1934,0.052524424,0.001993539,73.27941113
1935,0.066154013,0.000960401,78.06999903
1936,0.031312337,-0.006287743,79.41489505
1937,0.011232239916666666,-0.017895917,79.71761781
1938,0.031893663,-0.029036476,78.46465294
1939,0.025422795916666668,-0.030367032,78.54968493
1940,0.055948958,-0.033303385,81.73080633
1941,0.086389761,-0.036184486,73.81588343
1942,0.11782819091666667,-0.026664701,68.50282683
1943,0.092724388,-0.022127845,70.9229742
1944,0.105311577,-0.017363565,80.30899579
1945,0.12093756208333334,-0.019476061,87.75004612
1946,0.13096687583333333,-0.016137847,106.5058955
1947,0.149052435,-0.007629164,109.3296707
1948,0.154753972,0.00122219,101.2225795
1949,0.17698726899999997,-0.008243748,100.0466076
1950,0.147453534,-0.003858296,105.8948393
1951,0.14784350341666666,0.007545389,103.8986687
1952,0.12783812033333333,0.010487936833333334,103.9743275
1953,0.13672144941666667,0.011520938166666666,114.4974243
1954,0.12988531591666666,0.006722887,114.9114826
1955,0.10047158916666667,0.009374382,115.6397998
1956,0.078603977,0.007559735,114.1892674
1957,0.092469927,0.012373288083333335,113.5778143
1958,0.093287041,0.005681023,112.1642648
1959,0.06378646,0.004391576,110.9527538
1960,0.045244802,-0.003689216,109.9765026
1961,0.041989362,0.002513782,109.333163
1962,0.057477872416666666,0.002759693,109.2402664
1963,0.038051523,-0.00355722,109.0296849
1964,-0.013436983,-0.013223852,109.3283062
1965,-0.022098114,-0.019037399,109.0968083
1966,-0.003524002,-0.01082346,107.6672989
1967,-0.017722857,-0.009410405,106.2153794
1968,-0.028193591,-0.012495597,104.776963
1969,-0.023616918,-0.014134802,105.799998
1970,0.000915633,-0.025411113,107.9825135
1971,-0.012268718,-0.046900016,109.2622209
1972,-0.029618681,-0.036957775,110.1761418
1973,0.006122784,-0.014666302,105.9597118
1974,0.04130657,-0.006462658,102.5931194
1975,0.057178924,0.016460027166666665,102.3159396
1976,0.067756957,0.038290562,103.829413
1977,0.094470383,0.034964248,109.1240715
1978,0.090946842,0.04302744,116.7772306
1979,0.10883872174999999,0.058800236,121.1647509
1980,0.10381779591666666,0.07763622,117.1243052
1981,0.11281512191666666,0.099487545,112.8950898
1982,0.13258345758333334,0.096789595,108.5632321
1983,0.10669858666666666,0.089028598,108.4075495
1984,0.10874371616666667,0.083528657,108.8373956
1985,0.108522627,0.071815119,111.162458
1986,0.10367298383333334,0.048726209,118.735086
1987,0.111645243,0.054568354166666666,124.7551238
1988,0.14529479941666668,0.066193145,128.7040498
1989,0.14703929400000001,0.059519030333333334,130.3293371
1990,0.151030924,0.056335739,126.0398308
1991,0.11624660199999999,0.05797567,119.2911258
1992,0.084713693,0.053929328,116.4010624
1993,0.072084091,0.048438079,114.6648016
1994,0.086227802,0.053190186,114.716521
1995,0.074455006,0.045677938,113.7253368
1996,0.059274949,0.038398341333333336,112.9648249
1997,0.043746479916666664,0.036780601,113.7252066
1998,-0.001041214,0.03233008,118.2593328
1999,-0.041322788,0.039290448,123.7778751
2000,-0.027411654,0.041798959,130.1714283
2001,0.00149212,0.034782931,136.7687928
2002,0.028878651416666668,0.037053887,145.4460688
2003,0.051071928999999995,0.025685736249999997,155.5484416
2004,0.052500217,0.025621882083333335,170.4059812
2005,0.056211224,0.030698513416666667,188.1529635
2006,0.051439088333333334,0.036927913,194.7545722
2007,0.056421338999999994,0.029019160416666665,185.7466046
2008,0.091995161,0.015668903,163.0748388
2009,0.12248003191666666,0.016725462333333333,148.1683954
2010,0.11208647283333334,0.026124805,141.9607599
2011,0.129859858,0.013661721166666667,132.4602111
2012,0.10900675533333333,-0.014205498,131.3842975
2013,0.091468496,-0.018852951,141.9127094
2014,0.097493269,-0.018994911,148.8407607
2015,0.098299724,-0.028506451,155.4210264
